id,name,alias,category,lead,rpm_repo,rpm_pkg,rpm_pg,deb_repo,deb_pkg,deb_pg
1510,columnar,hydra,OLAP,t,PIGSTY,hydra_$v*,"{16,15,14,13}",PIGSTY,postgresql-$v-hydra,"{16,15,14,13}"
1520,pg_analytics,pg_analytics,OLAP,t,PIGSTY,pg_analytics_$v,"{17,16,15,14,13}",PIGSTY,postgresql-$v-pg-analytics,"{17,16,15,14,13}"
1530,pg_duckdb,pg_duckdb,OLAP,t,PIGSTY,pg_duckdb_$v*,"{17,16,15}",PIGSTY,postgresql-$v-pg-duckdb,"{17,16,15}"
1540,pg_mooncake,pg_mooncake,OLAP,t,PIGSTY,pg_mooncake_$v*,"{17,16,15}",PIGSTY,postgresql-$v-pg-mooncake,"{17,16,15}"
1550,duckdb_fdw,duckdb_fdw,OLAP,t,PIGSTY,duckdb_fdw_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-duckdb-fdw,"{17,16,15,14,13,12}"
1560,pg_parquet,pg_parquet,OLAP,t,PIGSTY,pg_parquet_$v,"{17,16,15,14}",PIGSTY,postgresql-$v-pg-parquet,"{17,16,15,14}"
1600,pg_fkpart,pg_fkpart,OLAP,t,PIGSTY,pg_fkpart_$v*,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pg-fkpart,"{17,16,15,14,13,12}"
1610,pg_partman,pg_partman,OLAP,t,PGDG,pg_partman_$v*,"{16,15,14,13,12}",PGDG,postgresql-$v-partman,"{17,16,15,14,13,12}"
1620,plproxy,plproxy,OLAP,t,PIGSTY,plproxy_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-plproxy,"{17,16,15,14,13,12}"
1630,pg_strom,pg_strom,OLAP,t,PGDG,pg_strom_$v*,"{17,16,15,14,13,12}",,,
1690,tablefunc,tablefunc,OLAP,t,CONTRIB,postgresql$v-contrib,"{17,16,15,14,13,12}",CONTRIB,postgresql-$v,"{17,16,15,14,13,12}"
1700,age,age,FEAT,t,PIGSTY,apache-age_$v*,"{16,15}",PGDG,postgresql-$v-age,"{16,15,14,13,12}"
1710,hll,hll,FEAT,t,PGDG,hll_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-hll,"{17,16,15,14,13,12}"
1720,rum,rum,FEAT,t,PGDG,rum_$v,"{17,16,15,14,13,12}",PGDG,postgresql-$v-rum,"{17,16,15,14,13,12}"
1730,pg_graphql,pg_graphql,FEAT,t,PIGSTY,pg_graphql_$v,"{17,16,15,14}",PIGSTY,postgresql-$v-pg-graphql,"{17,16,15,14}"
1750,pg_jsonschema,pg_jsonschema,FEAT,t,PIGSTY,pg_jsonschema_$v,"{17,16,15,14,13,12}",PIGSTY,postgresql-$v-pg-jsonschema,"{17,16,15,14,13,12}"
1760,jsquery,jsquery,FEAT,t,PGDG,jsquery_$v*,"{17,16,15,14}",PGDG,postgresql-$v-jsquery,"{17,16,15,14,13,12}"
1770,pg_hint_plan,pg_hint_plan,FEAT,t,PGDG,pg_hint_plan_$v*,"{17,16,15,14,13,12}",PGDG,postgresql-$v-pg-hint-plan,"{17,16,15,14,13,12}"
